#;D_factor;Vi_ino;Inoc_type;TS_inoc ;VS_inoc ;T_inoc ;Incuba;Feed;TS_feed;VS_feed;CODt ;T_strategy;T_i ;T_f;OLR_strategy;OLR_level;Mean_OLR;Design_OLR;HRT_i;HRT_f;VFA_high;VFA_SS;Biogas_SS;Methane_SS;Period_t;R_scale;Working volume;Nbr_stages
1;0;100;DG;32,8;19,88;;NO;OSW;313,67;307,08;;T_constant;35;35;Step-wise incremential;3;1;1,5;;;1800;1200;0,05;0,109;40;lab;8;1
2;0;100;DG;32,8;19,88;;NO;OSW;313,67;307,08;;T_one_step;37;55;Step-wise incremential;3;1;1,5;;;2500;1400;0,05;0,107;40;lab;8;1
3;0;100;DG;;;thermophilic;NO;OSW;60;48,78;;T_constant;55;55;Constant;1;3,26;3,26;15;15;6800;60;;0,32;12;lab;3,5;1
4;0;10;DG;;;thermophilic;NO;OSW;60;48,78;;T_constant;55;55;Step-wise;27;2,39;4,29;100;11;5200;200;;0,32;12;lab;3,5;1
5;0;10;DG;;;thermophilic;NO;OSW;60;48,78;;T_constant;55;55;Constant;1;1,63;1,63;30;30;6700;50;;0,2;20;lab;3,5;1
6;0;70;Sewage sludge;29,75;14,6;;YES;SS ;40,28;29,95;51;T_one_step;37;55;Step-wise;4;1,29;1,7;30;8;;;0,886;0,38;37;lab;5;1
7;0;70;Sewage sludge;29,75;14,6;;YES;SS ;40,28;29,95;51;T_constant;35;35;Step-wise;4;1,07;1,457;35;18;;;0,766;0,34;31;lab;5;1
8;;;DG;31,24;14,48;mesophilic;NO;SS ;46;27;38,7;T_step-wise ;37;55;Constant;1;1,38;1,38;20;20;3100;370;0,7;0,335;118;lab;2,6;1
9;;;DG;31,24;14,48;mesophilic;NO;SS ;46;27;38,7;T_one_step;37;55;Constant;1;1,38;1,38;20;20;2800;120;0,7;0,33;88;lab;2,6;1
10;;;;;;;NO;M;55;40,21;;T_constant;41;41;Constant;1;2,47;2,47;20;20;;;0,8;0,202;35;pilot/full;5000;1
11;;;DG;;;thermophilic;NO;M;;;;T_constant;50;50;Constant;1;;;20;20;4000;750;;0,2;40;pilot/full;100;1
12;;;DG;;;thermophilic;NO;M;;;;T_constant;50;50;Constant;1;;;20;20;2000;750;;0,2;40;pilot/full;100;1
13;;;DG;;;thermophilic;NO;M;;;;T_constant;65;65;Constant;1;;;20;20;5000;750;;0,2;40;pilot/full;100;2
14;0;;DG;170;;;YES;OSW;200;98;;T_constant;35;35;Constant;1;5,2;5,2;20;20;6000;2000;2;0,25;45;lab;5;1
