#;Ino_DG;Ino_SS;Ino_Mix;Ino_CM;Incu;No_incu;F_OSW;F_SS;F_M;TS_feed;VS_feed;T_constant;T_one_step;T_step_wise ;T_i ;T_f;OLR_Cons;OLR_Stepw;OLR_Dyna;Mean_OLR;Design_OLR;HRT_i;HRT_f;Period_t;Lab;Pilo_Full;Working volume
3;0,5;0;0;0;0;0,707106781;0,577350269;0;0;60;48,78;0,577350269;0;0;55;55;0,577350269;0;0;3,26;3,26;15;15;12;0,707106781;0;3,5
4;0,5;0;0;0;0;0,707106781;0,577350269;0;0;60;48,78;0,577350269;0;0;55;55;0;0,577350269;0;2,39;4,29;100;11;12;0,707106781;0;3,5
5;0,5;0;0;0;0;0,707106781;0,577350269;0;0;60;48,78;0,577350269;0;0;55;55;0,577350269;0;0;1,63;1,63;30;30;20;0,707106781;0;3,5
6;0;0,5;0;0;0,707106781;0;0;0,577350269;0;40,28;29,95;0;0,577350269;0;37;55;0;0,577350269;0;1,29;1,7;30;8;37;0,707106781;0;5
7;0;0,5;0;0;0,707106781;0;0;0,577350269;0;40,28;29,95;0,577350269;0;0;35;35;0;0,577350269;0;1,07;1,457;35;18;31;0,707106781;0;5
8;0,5;0;0;0;0;0,707106781;0;0,577350269;0;46;27;0;0;0,577350269;37;55;0,577350269;0;0;1,38;1,38;20;20;118;0,707106781;0;2,6
9;0,5;0;0;0;0;0,707106781;0;0,577350269;0;46;27;0;0,577350269;0;37;55;0,577350269;0;0;1,38;1,38;20;20;88;0,707106781;0;2,6
14;0,5;0;0;0;0,707106781;0;0,577350269;0;0;200;98;0,577350269;0;0;35;35;0,577350269;0;0;5,2;5,2;20;20;45;0,707106781;0;5
19;0;0;0,5;0;0,707106781;0;0,577350269;0;0;73,25;69,5;0,577350269;0;0;55;55;0;0,577350269;0;1,61;2,4;45;30;108;0,707106781;0;9
20;0;0;0,5;0;0,707106781;0;0,577350269;0;0;73,25;69,5;0,577350269;0;0;55;55;0;0,577350269;0;1,61;2,4;45;30;108;0,707106781;0;9
24;0;0;0;0,5;0,707106781;0;0,577350269;0;0;77,5;72,93;0;0,577350269;0;55;55;0;0;0,577350269;0,98;2,07;227;133;1000;0,707106781;0;9
25;0,5;0;0;0;0;0,707106781;0;0;0,577350269;41;28,1;0,577350269;0;0;37;37;0;0,577350269;0;1,27;2,25;100;12,5;35;0;0,707106781;75
26;0,5;0;0;0;0;0,707106781;0;0;0,577350269;41;28,1;0,577350269;0;0;37;37;0;0,577350269;0;4,64;9;100;3,1;35;0;0,707106781;75
27;0;0;0;0,5;0;0,707106781;0;0;0,577350269;41;28,1;0;0;0,577350269;20;37;0,577350269;0;0;2,25;2,25;12,5;12,5;35;0;0,707106781;75
28;0;0;0;0,5;0;0,707106781;0;0;0,577350269;41;28,1;0;0;0,577350269;20;37;0,577350269;0;0;9;9;3,1;3,1;35;0;0,707106781;75
29;0;0;0,5;0;0;0,707106781;0;0;0,577350269;19;14;0,577350269;0;0;20;20;0,577350269;0;0;0,3;0,3;25;25;175;0,707106781;0;8
30;0;0;0,5;0;0;0,707106781;0;0;0,577350269;19;14;0,577350269;0;0;28;28;0,577350269;0;0;0,3;0,3;25;25;75;0,707106781;0;8
31;0;0;0,5;0;0;0,707106781;0;0;0,577350269;19;14;0,577350269;0;0;38;38;0,577350269;0;0;0,3;0,3;25;25;50;0,707106781;0;8
32;0,5;0;0;0;0,707106781;0;0;0,577350269;0;36;27,36;0;0,577350269;0;37;55;0;0;0,577350269;5,388;8,24;33;12;76;0;0,707106781;4500000
33;0,5;0;0;0;0;0,707106781;0;0;0,577350269;81;62;0,577350269;0;0;55;55;0,577350269;0;0;4,01;4,01;15;15;58;0,707106781;0;3,6
34;0,5;0;0;0;0;0,707106781;0;0;0,577350269;81;62;0,577350269;0;0;55;55;0,577350269;0;0;4,01;4,01;15;15;58;0,707106781;0;3,6
35;0,5;0;0;0;0;0,707106781;0;0;0,577350269;81;62;0,577350269;0;0;55;55;0,577350269;0;0;4,01;4,01;15;15;70;0,707106781;0;3,6
37;0,5;0;0;0;0;0,707106781;0;0;0,577350269;51;34;0,577350269;0;0;35;35;0,577350269;0;0;2;2;16,2;16,2;30;0,707106781;0;3,73
38;0,5;0;0;0;0;0,707106781;0;0;0,577350269;51;34;0,577350269;0;0;35;35;0,577350269;0;0;2;2;16,2;16,2;30;0,707106781;0;3,73
39;0,5;0;0;0;0;0,707106781;0;0;0,577350269;51;34;0,577350269;0;0;35;35;0,577350269;0;0;2;2;16,2;16,2;30;0,707106781;0;3,73
40;0,5;0;0;0;0;0,707106781;0;0;0,577350269;51;34;0,577350269;0;0;35;35;0,577350269;0;0;2;2;16,2;16,2;30;0,707106781;0;3,73
41;0,5;0;0;0;0;0,707106781;0;0;0,577350269;100;53;0,577350269;0;0;35;35;0,577350269;0;0;3,2;3,2;16,2;16,2;30;0,707106781;0;3,73
42;0,5;0;0;0;0;0,707106781;0;0;0,577350269;100;53;0,577350269;0;0;35;35;0,577350269;0;0;3,2;3,2;16,2;16,2;30;0,707106781;0;3,73
43;0,5;0;0;0;0;0,707106781;0;0;0,577350269;100;53;0,577350269;0;0;35;35;0,577350269;0;0;3,2;3,2;16,2;16,2;30;0,707106781;0;3,73
44;0,5;0;0;0;0;0,707106781;0;0;0,577350269;100;53;0,577350269;0;0;35;35;0,577350269;0;0;3,2;3,2;16,2;16,2;30;0,707106781;0;3,73
45;0,5;0;0;0;0;0,707106781;0;0;0,577350269;150;75;0,577350269;0;0;35;35;0,577350269;0;0;4,7;4,7;16,2;16,2;20;0,707106781;0;3,73
46;0,5;0;0;0;0;0,707106781;0;0;0,577350269;150;75;0,577350269;0;0;35;35;0,577350269;0;0;4,7;4,7;16,2;16,2;40;0,707106781;0;3,73
47;0,5;0;0;0;0;0,707106781;0;0;0,577350269;150;75;0,577350269;0;0;35;35;0,577350269;0;0;4,7;4,7;16,2;16,2;40;0,707106781;0;3,73
48;0,5;0;0;0;0;0,707106781;0,577350269;0;0;60,52;52,11;0,577350269;0;0;37;37;0;0,577350269;0;1,15;2,08;230;25;61;0,707106781;0;3
49;0,5;0;0;0;0;0,707106781;0,577350269;0;0;60,52;52,11;0,577350269;0;0;37;37;0;0,577350269;0;1,64;3,13;333;16;61;0,707106781;0;3
50;0,5;0;0;0;0;0,707106781;0,577350269;0;0;60,52;52,11;0,577350269;0;0;37;37;0,577350269;0;0;2,61;2,61;20;20;61;0,707106781;0;3
52;0;0,5;0;0;0;0,707106781;0;0,577350269;0;20,8;14,7;0;0,577350269;0;37;55;0;0,577350269;0;2;2,9;13;5;250;0;0,707106781;100
53;0;0;0,5;0;0,707106781;0;0,577350269;0;0;108;64;0;0,577350269;0;37;55;0,577350269;0;0;6,8;6,8;9;9;20;0,707106781;0;3
54;0;0;0,5;0;0,707106781;0;0,577350269;0;0;108;64;0;0,577350269;0;35;55;0,577350269;0;0;6,8;6,8;9;9;20;0,707106781;0;3
